"player","pos","age","contract_type","cap_hit","cap_hit_pct_league_cap","team","year"
"Jarrett Allen","C",21,"RK","$2,376,840","2.18%","brooklyn nets",2019
"Landry Shamet","SG",22,"RK","$1,995,120","1.83%","brooklyn nets",2019
"Dzanan Musa","SG",20,"RK","$1,911,600","1.75%","brooklyn nets",2019
"Rodions Kurucs","SF",21,"RK","$1,699,236","1.56%","brooklyn nets",2019
"Nicolas Claxton","C",20,"RK","$898,310","0.82%","brooklyn nets",2019
"Timothe Luwawu-Cabarrot","SG",24,"ROS","$654,468","0.60%","brooklyn nets",2019
"Tyler Johnson","SG",27,"ROS","$183,115","0.17%","brooklyn nets",2019
"Donta Hall","PF",22,"ROS","$101,504","0.09%","brooklyn nets",2019
"Jamal Crawford","SG",39,"ROS","-","-","brooklyn nets",2019
"Lance Thomas","SF",31,"ROS","-","-","brooklyn nets",2019
"Justin Anderson","SG",26,"ROS","-","-","brooklyn nets",2019
"Chris Chiozza","PG",24,"TW","-","-","brooklyn nets",2019
"Jeremiah Martin","G",23,"TW","-","-","brooklyn nets",2019
"James Harden","SG",31,"DVET-EXT","$41,254,920","37.80%","brooklyn nets",2020
"Kevin Durant","SF",32,"Maximum","$40,108,950","36.75%","brooklyn nets",2020
"Kyrie Irving","PG",28,"FA","$33,722,850","30.90%","brooklyn nets",2020
"Joe Harris","SG",29,"FA","$16,071,429","14.73%","brooklyn nets",2020
"Spencer Dinwiddie","PG",27,"VET-EXT","$11,454,048","10.49%","brooklyn nets",2020
"DeAndre Jordan","C",32,"FA","$10,375,678","9.51%","brooklyn nets",2020
"Landry Shamet","SG",23,"RK","$2,090,040","1.92%","brooklyn nets",2020
"Timothe Luwawu-Cabarrot","SG",25,"ROS","$1,824,003","1.67%","brooklyn nets",2020
"Bruce Brown Jr.","SG",24,"RK","$1,663,861","1.52%","brooklyn nets",2020
"Jeff Green","PF",34,"FA","$1,620,564","1.48%","brooklyn nets",2020
"Tyler Johnson","SG",28,"FA","$1,620,564","1.48%","brooklyn nets",2020
"Nicolas Claxton","C",21,"RK","$1,517,981","1.39%","brooklyn nets",2020
"Blake Griffin","C",31,"ROS","$776,983","0.71%","brooklyn nets",2020
"Alize Johnson","PF",24,"ROS","$399,591","0.37%","brooklyn nets",2020
"Mike James","PG",30,"ROS","$39,608","0.04%","brooklyn nets",2020
"Chris Chiozza","PG",25,"TW","-","-","brooklyn nets",2020
"Reggie Perry","C",20,"TW","-","-","brooklyn nets",2020
"Kevin Durant","SF",33,"Maximum","$42,018,900","37.38%","brooklyn nets",2021
"Kyrie Irving","PG",29,"FA","$35,328,700","31.43%","brooklyn nets",2021
"Ben Simmons","PG",25,"DRK-EXT","$33,003,936","29.36%","brooklyn nets",2021
"Joe Harris","SG",30,"FA","$17,357,143","15.44%","brooklyn nets",2021
"Seth Curry","SG",31,"FA","$8,207,518","7.30%","brooklyn nets",2021
"Patty Mills","PG",33,"FA","$5,890,000","5.24%","brooklyn nets",2021
"Bruce Brown Jr.","SG",25,"FA","$4,736,102","4.21%","brooklyn nets",2021
"Cameron Thomas","SG",20,"RK","$2,036,280","1.81%","brooklyn nets",2021
"Day'Ron Sharpe","C",20,"RK","$2,009,160","1.79%","brooklyn nets",2021
"Nicolas Claxton","C",22,"RK","$1,782,621","1.59%","brooklyn nets",2021
"LaMarcus Aldridge","PF",36,"FA","$1,669,178","1.48%","brooklyn nets",2021
"Blake Griffin","C",32,"FA","$1,669,178","1.48%","brooklyn nets",2021
"Andre Drummond","C",28,"FA","$1,669,178","1.48%","brooklyn nets",2021
"Goran Dragic","PG",35,"ROS","$460,463","0.41%","brooklyn nets",2021
"Kessler Edwards","SF",21,"ROS","$5,318","0.00%","brooklyn nets",2021
"David Duke Jr.","SG",22,"TW","-","-","brooklyn nets",2021
"Ben Simmons","PG",26,"DRK-EXT","$35,448,672","28.67%","brooklyn nets",2022
"Mikal Bridges","SF",26,"RK-EXT","$21,000,000","16.98%","brooklyn nets",2022
"Spencer Dinwiddie","PG",29,"S&T","$19,500,000","15.77%","brooklyn nets",2022
"Joe Harris","SG",31,"FA","$18,642,857","15.08%","brooklyn nets",2022
"Dorian Finney-Smith","PF",29,"VET-EXT","$12,939,848","10.46%","brooklyn nets",2022
"Nicolas Claxton","C",23,"FA","$9,350,000","7.56%","brooklyn nets",2022
"Royce O'Neale","SF",29,"VET-EXT","$9,200,000","7.44%","brooklyn nets",2022
"Seth Curry","SG",32,"FA","$8,496,653","6.87%","brooklyn nets",2022
"Patty Mills","PG",34,"FA","$6,479,000","5.24%","brooklyn nets",2022
"Cameron Johnson","SF",26,"RK","$5,887,899","4.76%","brooklyn nets",2022
"Cameron Thomas","SG",21,"RK","$2,138,160","1.73%","brooklyn nets",2022
"Day'Ron Sharpe","C",21,"RK","$2,109,480","1.71%","brooklyn nets",2022
"Edmond Sumner","SG",27,"FA","$1,968,175","1.59%","brooklyn nets",2022
"Yuta Watanabe","SF",28,"FA","$1,836,090","1.48%","brooklyn nets",2022
"David Duke Jr.","SG",23,"ROS","$28,241","0.02%","brooklyn nets",2022
"RaiQuan Gray","PF",23,"TW","-","-","brooklyn nets",2022
"Dru Smith","SG",25,"TW","-","-","brooklyn nets",2022
"Ben Simmons","PG",27,"DRK-EXT","$37,893,408","27.86%","brooklyn nets",2023
"Cameron Johnson","SF",27,"FA","$25,679,348","18.88%","brooklyn nets",2023
"Mikal Bridges","SF",27,"RK-EXT","$21,700,000","15.95%","brooklyn nets",2023
"Dorian Finney-Smith","PF",30,"VET-EXT","$13,932,008","10.24%","brooklyn nets",2023
"Dennis Schröder","PG",30,"FA","$12,405,000","9.12%","brooklyn nets",2023
"Nicolas Claxton","C",24,"FA","$9,625,000","7.08%","brooklyn nets",2023
"Noah Clowney","PF",19,"RK","$3,089,520","2.27%","brooklyn nets",2023
"Dariq Whitehead","SG",19,"RK","$2,966,040","2.18%","brooklyn nets",2023
"Keita Bates-Diop","SF",28,"FA","$2,346,614","1.73%","brooklyn nets",2023
"Cameron Thomas","SG",22,"RK","$2,240,160","1.65%","brooklyn nets",2023
"Day'Ron Sharpe","C",22,"RK","$2,210,040","1.62%","brooklyn nets",2023
"Dennis Smith Jr.","PG",26,"FA","$2,019,706","1.48%","brooklyn nets",2023
"Lonnie Walker IV","SG",25,"FA","$2,019,706","1.48%","brooklyn nets",2023
"Trendon Watford","PF",23,"FA","$2,019,706","1.48%","brooklyn nets",2023
"Jalen Wilson","PF",23,"ROS","$850,000","0.62%","brooklyn nets",2023
"Keon Johnson","SG",21,"TW","-","-","brooklyn nets",2023
"Jacob Gilyard","PG",25,"TW","-","-","brooklyn nets",2023
"Jaylen Martin","F",20,"TW","-","-","brooklyn nets",2023
"Ben Simmons","PG",28,"DRK-EXT","$40,338,144","28.69%","brooklyn nets",2024
"Nicolas Claxton","C",25,"FA","$28,409,086","20.21%","brooklyn nets",2024
"Cameron Johnson","SF",28,"FA","$23,625,000","16.80%","brooklyn nets",2024
"Bojan Bogdanovic","SF",35,"VET-EXT","$19,032,850","13.54%","brooklyn nets",2024
"Dorian Finney-Smith","PF",31,"VET-EXT","$14,924,167","10.62%","brooklyn nets",2024
"Dennis Schröder","PG",31,"FA","$13,025,250","9.26%","brooklyn nets",2024
"Cameron Thomas","SG",23,"RK","$4,041,249","2.87%","brooklyn nets",2024
"Day'Ron Sharpe","C",23,"RK","$3,989,122","2.84%","brooklyn nets",2024
"Noah Clowney","PF",20,"RK","$3,244,080","2.31%","brooklyn nets",2024
"Dariq Whitehead","SG",20,"RK","$3,114,240","2.22%","brooklyn nets",2024
"Shake Milton","SG",28,"S&T","$2,875,000","2.05%","brooklyn nets",2024
"Trendon Watford","PF",24,"QO","$2,726,603","1.94%","brooklyn nets",2024
"Mamadi Diakite","PF",28,"ROS","$2,273,252","1.62%","brooklyn nets",2024
"Jalen Wilson","PF",24,"ROS","$1,891,857","1.35%","brooklyn nets",2024
"Jaylen Martin","F",21,"TW","-","-","brooklyn nets",2024
"Carmelo Anthony","PF",27,"Rookie-maximum-extension","$18,518,574","31.90%","new york knicks",2011
"Amar'e Stoudemire","PF",29,"","$18,217,705","31.39%","new york knicks",2011
"Tyson Chandler","C",29,"","$13,107,838","22.58%","new york knicks",2011
"J.R. Smith","SG",26,"","$2,382,353","4.10%","new york knicks",2011
"Iman Shumpert","SG",21,"RK","$1,563,120","2.69%","new york knicks",2011
"Toney Douglas","SG",25,"RK","$1,145,640","1.97%","new york knicks",2011
"Steve Novak","SF",28,"","$992,680","1.71%","new york knicks",2011
"Mike Bibby","PG",NA,"","$854,389","1.47%","new york knicks",2011
"Baron Davis","PG",32,"ROS","$854,389","1.47%","new york knicks",2011
"Jared Jeffries","PF",30,"","$854,389","1.47%","new york knicks",2011
"Jeremy Lin","PG",23,"RK","$613,474","1.06%","new york knicks",2011
"Landry Fields","SF",23,"RK","$613,474","1.06%","new york knicks",2011
"Jerome Jordan","C",25,"RK","$381,193","0.66%","new york knicks",2011
"Josh Harrellson","PF",22,"RK","$381,193","0.66%","new york knicks",2011
"Dan Gadzuric","C",33,"","$69,393","0.12%","new york knicks",2011
"Chauncey Billups","PG",35,"Amnesty","-","-","new york knicks",2011
"Amar'e Stoudemire","PF",30,"","$19,948,799","34.37%","new york knicks",2012
"Carmelo Anthony","PF",28,"VET-EXT","$19,444,504","33.50%","new york knicks",2012
"Tyson Chandler","C",30,"","$13,604,188","23.44%","new york knicks",2012
"Marcus Camby","C",38,"","$4,590,338","7.91%","new york knicks",2012
"Steve Novak","SF",29,"","$4,054,055","6.98%","new york knicks",2012
"Raymond Felton","PG",28,"","$3,480,453","6.00%","new york knicks",2012
"Jason Kidd","PG",39,"","$3,090,000","5.32%","new york knicks",2012
"J.R. Smith","SG",27,"","$2,806,452","4.84%","new york knicks",2012
"Iman Shumpert","SG",22,"RK","$1,633,440","2.81%","new york knicks",2012
"James White","SG",30,"","$854,389","1.47%","new york knicks",2012
"Pablo Prigioni","PG",35,"RK","$473,604","0.82%","new york knicks",2012
"Chris Copeland","SF",28,"RK","$473,604","0.82%","new york knicks",2012
"Kenyon Martin","PF",35,"","$270,436","0.47%","new york knicks",2012
"Quentin Richardson","PF",32,"","$10,052","0.02%","new york knicks",2012
"Earl Barron","PF",31,"","$6,743","0.01%","new york knicks",2012
"Amar'e Stoudemire","PF",31,"","$21,679,893","36.95%","new york knicks",2013
"Carmelo Anthony","PF",29,"VET-EXT","$21,388,953","36.45%","new york knicks",2013
"Tyson Chandler","C",31,"","$14,350,537","24.46%","new york knicks",2013
"Andrea Bargnani","C",28,"RK-EXT","$11,862,500","20.22%","new york knicks",2013
"J.R. Smith","SG",28,"","$5,565,000","9.48%","new york knicks",2013
"Raymond Felton","PG",29,"","$3,637,073","6.20%","new york knicks",2013
"Iman Shumpert","SG",23,"RK","$1,703,760","2.90%","new york knicks",2013
"Pablo Prigioni","PG",36,"","$1,591,350","2.71%","new york knicks",2013
"Tim Hardaway Jr.","SG",21,"RK","$1,196,760","2.04%","new york knicks",2013
"Kenyon Martin","PF",36,"","$884,293","1.51%","new york knicks",2013
"Cole Aldrich","C",25,"","$884,293","1.51%","new york knicks",2013
"Jeremy Tyler","PF",22,"","$556,584","0.95%","new york knicks",2013
"Toure Murry","SF",24,"RK","$490,180","0.84%","new york knicks",2013
"Shannon Brown","PG",28,"","$195,417","0.33%","new york knicks",2013
"Lamar Odom","PF",34,"","$8,232","0.01%","new york knicks",2013
"Carmelo Anthony","PF",30,"Maximum","$22,458,401","35.61%","new york knicks",2014
"Andrea Bargnani","C",29,"RK-EXT","$11,500,000","18.24%","new york knicks",2014
"Jose Calderon","PG",33,"","$7,097,191","11.25%","new york knicks",2014
"Alexey Shved","PG",26,"RK","$3,282,056","5.20%","new york knicks",2014
"Jason Smith","PF",28,"","$3,278,000","5.20%","new york knicks",2014
"Shane Larkin","PG",22,"RK","$1,606,080","2.55%","new york knicks",2014
"Tim Hardaway Jr.","SG",22,"RK","$1,250,640","1.98%","new york knicks",2014
"Cole Aldrich","C",26,"","$915,243","1.45%","new york knicks",2014
"Quincy Acy","PF",24,"RK","$915,243","1.45%","new york knicks",2014
"Cleanthony Early","SF",23,"RK","$507,336","0.80%","new york knicks",2014
"Travis Wear","SF",24,"RK","$507,336","0.80%","new york knicks",2014
"Louis Amundson","PF",32,"","$409,167","0.65%","new york knicks",2014
"Lance Thomas","SF",26,"","$409,167","0.65%","new york knicks",2014
"Langston Galloway","SG",23,"","$235,762","0.37%","new york knicks",2014
"Ricky Ledo","SG",22,"","$38,423","0.06%","new york knicks",2014
"Carmelo Anthony","PF",31,"Maximum","$22,875,000","32.68%","new york knicks",2015
"Arron Afflalo","SG",30,"","$8,000,000","11.43%","new york knicks",2015
"Jose Calderon","PG",34,"","$7,402,812","10.58%","new york knicks",2015
"Derrick Williams","PF",24,"","$4,400,000","6.29%","new york knicks",2015
"Kristaps Porzingis","PF",20,"RK","$4,131,720","5.90%","new york knicks",2015
"Kyle O'Quinn","C",25,"S&T","$3,750,000","5.36%","new york knicks",2015
"Kevin Seraphin","PF",26,"","$2,814,000","4.02%","new york knicks",2015
"Lance Thomas","SF",27,"","$1,636,842","2.34%","new york knicks",2015
"Louis Amundson","PF",33,"","$1,635,476","2.34%","new york knicks",2015
"Sasha Vujacic","SG",31,"","$947,276","1.35%","new york knicks",2015
"Cleanthony Early","SF",24,"RK","$845,059","1.21%","new york knicks",2015
"Langston Galloway","SG",24,"","$845,059","1.21%","new york knicks",2015
"Carmelo Anthony","PF",32,"Maximum","$24,559,380","26.09%","new york knicks",2016
"Derrick Rose","PG",28,"DRK-EXT","$21,323,252","22.65%","new york knicks",2016
"Courtney Lee","SG",31,"","$11,242,000","11.94%","new york knicks",2016
"Lance Thomas","SF",28,"","$6,191,000","6.58%","new york knicks",2016
"Kristaps Porzingis","PF",21,"RK","$4,317,720","4.59%","new york knicks",2016
"Kyle O'Quinn","C",26,"S&T","$3,918,750","4.16%","new york knicks",2016
"Mindaugas Kuzminskas","SF",27,"RK","$2,898,000","3.08%","new york knicks",2016
"Willy Hernangomez","C",22,"","$1,375,000","1.46%","new york knicks",2016
"Justin Holiday","SG",27,"","$1,015,696","1.08%","new york knicks",2016
"Sasha Vujacic","SG",32,"","$980,431","1.04%","new york knicks",2016
"Maurice N'dour","PF",24,"","$543,471","0.58%","new york knicks",2016
"Marshall Plumlee","PF",24,"RK","$543,471","0.58%","new york knicks",2016
"Ron Baker","SG",23,"RK","$543,471","0.58%","new york knicks",2016
"Chasson Randle","PG",23,"","$143,860","0.15%","new york knicks",2016
"Enes Freedom","C",25,"Maximum","$20,566,801","20.76%","new york knicks",2017
"Joakim Noah","C",32,"","$17,765,000","17.93%","new york knicks",2017
"Tim Hardaway Jr.","SG",25,"","$16,500,000","16.65%","new york knicks",2017
"Courtney Lee","SG",32,"","$11,747,890","11.86%","new york knicks",2017
"Lance Thomas","SF",29,"","$6,655,325","6.72%","new york knicks",2017
"Kristaps Porzingis","PF",22,"RK","$4,503,600","4.54%","new york knicks",2017
"Ron Baker","SG",24,"","$4,328,000","4.37%","new york knicks",2017
"Kyle O'Quinn","C",27,"S&T","$4,087,500","4.12%","new york knicks",2017
"Frank Ntilikina","PG",19,"RK","$3,501,120","3.53%","new york knicks",2017
"Emmanuel Mudiay","PG",21,"RK","$3,381,480","3.41%","new york knicks",2017
"Jarrett Jack","PG",34,"","$1,471,382","1.48%","new york knicks",2017
"Michael Beasley","SF",29,"","$1,471,382","1.48%","new york knicks",2017
"Damyean Dotson","SG",23,"RK","$1,100,000","1.11%","new york knicks",2017
"Trey Burke","PG",25,"","$784,160","0.79%","new york knicks",2017
"Troy Williams","SF",23,"","$222,476","0.22%","new york knicks",2017
"Luke Kornet","C",22,"TW","-","-","new york knicks",2017
"Isaiah Hicks","PF",23,"TW","-","-","new york knicks",2017
"DeAndre Jordan","C",30,"","$22,897,200","22.48%","new york knicks",2018
"Lance Thomas","SF",30,"","$7,119,650","6.99%","new york knicks",2018
"Mario Hezonja","SG",23,"","$6,500,000","6.38%","new york knicks",2018
"Emmanuel Mudiay","PG",22,"RK","$4,294,480","4.22%","new york knicks",2018
"Frank Ntilikina","PG",20,"RK","$4,155,720","4.08%","new york knicks",2018
"Dennis Smith Jr.","PG",21,"RK","$3,819,960","3.75%","new york knicks",2018
"Kevin Knox","SF",19,"RK","$3,739,920","3.67%","new york knicks",2018
"Allonzo Trier","SG",23,"","$3,382,000","3.32%","new york knicks",2018
"Luke Kornet","C",23,"","$1,619,260","1.59%","new york knicks",2018
"Noah Vonleh","PF",23,"","$1,512,601","1.48%","new york knicks",2018
"Mitchell Robinson","C",20,"RK","$1,485,440","1.46%","new york knicks",2018
"Damyean Dotson","SG",24,"RK","$1,378,242","1.35%","new york knicks",2018
"John Jenkins","SG",27,"ROS","$486,520","0.48%","new york knicks",2018
"Henry Ellenson","C",22,"","$341,831","0.34%","new york knicks",2018
"Billy Garrett","SG",24,"","$42,634","0.04%","new york knicks",2018
"Kadeem Allen","SG",26,"TW","-","-","new york knicks",2018
"Isaiah Hicks","PF",24,"TW","-","-","new york knicks",2018
"Julius Randle","PF",25,"FA","$18,000,000","16.49%","new york knicks",2019
"Bobby Portis","PF",24,"FA","$15,000,000","13.74%","new york knicks",2019
"Maurice Harkless","SF",26,"","$11,011,236","10.09%","new york knicks",2019
"Taj Gibson","C",34,"FA","$9,000,000","8.25%","new york knicks",2019
"Wayne Ellington","SG",32,"FA","$8,000,000","7.33%","new york knicks",2019
"Elfrid Payton","PG",25,"FA","$8,000,000","7.33%","new york knicks",2019
"R.J. Barrett","SG",19,"RK","$7,839,960","7.18%","new york knicks",2019
"Frank Ntilikina","PG",21,"RK","$4,855,800","4.45%","new york knicks",2019
"Dennis Smith Jr.","PG",22,"RK","$4,463,640","4.09%","new york knicks",2019
"Kevin Knox","SF",20,"RK","$4,380,120","4.01%","new york knicks",2019
"Reggie Bullock","SF",28,"","$4,000,000","3.67%","new york knicks",2019
"Damyean Dotson","SG",25,"RK","$1,618,520","1.48%","new york knicks",2019
"Mitchell Robinson","C",21,"RK","$1,559,712","1.43%","new york knicks",2019
"Theo Pinson","SG",24,"FA","$1,445,697","1.32%","new york knicks",2019
"Ignas Brazdeikis","SF",21,"RK","$898,310","0.82%","new york knicks",2019
"Jared Harper","PG",22,"TW","-","-","new york knicks",2019
"Kenny Wooten","PF",21,"TW","-","-","new york knicks",2019
"Julius Randle","PF",26,"FA","$20,790,000","19.05%","new york knicks",2020
"R.J. Barrett","SG",20,"RK","$8,231,760","7.54%","new york knicks",2020
"Derrick Rose","PG",32,"FA","$7,682,927","7.04%","new york knicks",2020
"Frank Ntilikina","PG",22,"RK","$6,176,578","5.66%","new york knicks",2020
"Alec Burks","SG",29,"FA","$6,000,000","5.50%","new york knicks",2020
"Nerlens Noel","C",26,"FA","$5,000,000","4.58%","new york knicks",2020
"Obi Toppin","PF",22,"RK","$4,862,040","4.45%","new york knicks",2020
"Elfrid Payton","PG",26,"FA","$4,767,000","4.37%","new york knicks",2020
"Kevin Knox","SF",21,"RK","$4,588,680","4.20%","new york knicks",2020
"Reggie Bullock","SF",29,"","$4,200,000","3.85%","new york knicks",2020
"Luca Vildoza","PG",25,"ROS","$3,500,000","3.21%","new york knicks",2020
"Immanuel Quickley","PG",21,"RK","$2,105,520","1.93%","new york knicks",2020
"Mitchell Robinson","C",22,"RK","$1,663,861","1.52%","new york knicks",2020
"Taj Gibson","C",35,"ROS","$1,442,968","1.32%","new york knicks",2020
"Norvel Pelle","PF",27,"ROS","$500,000","0.46%","new york knicks",2020
"Jared Harper","PG",23,"TW","-","-","new york knicks",2020
"Theo Pinson","SG",25,"TW","-","-","new york knicks",2020
"Julius Randle","PF",27,"FA","$19,800,000","17.61%","new york knicks",2021
"Evan Fournier","SG",29,"FA","$17,142,857","15.25%","new york knicks",2021
"Derrick Rose","PG",33,"FA","$13,445,120","11.96%","new york knicks",2021
"Alec Burks","SG",30,"FA","$9,536,000","8.48%","new york knicks",2021
"Nerlens Noel","C",27,"FA","$8,800,000","7.83%","new york knicks",2021
"Kemba Walker","PG",31,"FA","$8,729,020","7.77%","new york knicks",2021
"R.J. Barrett","SG",21,"RK","$8,623,920","7.67%","new york knicks",2021
"Obi Toppin","PF",23,"RK","$5,105,160","4.54%","new york knicks",2021
"Taj Gibson","C",36,"FA","$4,910,000","4.37%","new york knicks",2021
"Cam Reddish","SF",22,"RK","$4,670,160","4.15%","new york knicks",2021
"Immanuel Quickley","PG",22,"RK","$2,210,640","1.97%","new york knicks",2021
"Quentin Grimes","SG",21,"RK","$2,168,640","1.93%","new york knicks",2021
"Mitchell Robinson","C",23,"RK","$1,802,057","1.60%","new york knicks",2021
"Miles McBride","PG",21,"RK","$925,258","0.82%","new york knicks",2021
"Ryan Arcidiacono","PG",27,"ROS","$546,801","0.49%","new york knicks",2021
"Jericho Sims","C",23,"TW","-","-","new york knicks",2021
"Feron Hunt","SF",22,"TW","-","-","new york knicks",2021
